Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Miracle Mints (Live Rosin Badder .84g),7148miraclemintsBAD,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$595.00 ,160,Miracle Mints (Live Rosin Badder .84g)
Pure Balance 1:1 (CO2 Full Spectrum 510 Cartridge .84g),7154purebalance510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,820,$400.00 ,160,Pure Balance 1:1 (CO2 Full Spectrum 510 Cartridge .84g)
Animal Mints (CO2 Full Spectrum Luster Pod .84g),7193animalmintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,220,$400.00 ,160,Animal Mints (CO2 Full Spectrum Luster Pod .84g)
Right Hook (Live Rosin Badder .3g),7798righthookBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,100,$180.00 ,160,Right Hook (Live Rosin Badder .3g)
Clementine Banana Punch (Infused Distillate 510 Cartridge .84g),7862clembanpunch510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,200,$400.00 ,160,Clementine Banana Punch (Infused Distillate 510 Cartridge .84g)
Jokerz (CO2 Full Spectrum Luster Pod .84g),7994jokerzLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,140,$400.00 ,160,Jokerz (CO2 Full Spectrum Luster Pod .84g)
Hell On Wheels (Live Rosin Badder .3g),7983hellonwheelsBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,0,$180.00 ,160,Hell On Wheels (Live Rosin Badder .3g)
Hell On Wheels (Live Rosin Badder .84g),7983hellonwheelsBAD84,Pure Ohio Wellness,Badder (Live Rosin),Medical,40,$595.00 ,160,Hell On Wheels (Live Rosin Badder .84g)
First Class Funk (Live Rosin Badder .3g),7981firstclassfunkBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,300,$180.00 ,160,First Class Funk (Live Rosin Badder .3g)
Menthol (Infused Distillate Disposable Vape Pen .5g),6747mentholDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,150,Menthol (Infused Distillate Disposable Vape Pen .5g)
